ACTIVEC,PRESUACCIDETRASUCE,MUERTES_REPOR_AT,NUEVAPENSIOINVA_R_AT,NUEVAPENSIOINVA_R_EL,INCAPERMAPARCIAR_AT,INCAPERMAPARCIAR_EL,RELA_DEP,RELA_INDEP,TOTAL_TRABAJADORES,TASA_ACCIDENTES,TASA_MUERTES
5239501,3,3,3,0,0,0,221.0,5.0,226.0,13.2743,13.2743
5259201,2,2,2,0,0,0,449.0,9.0,458.0,4.3668,4.3668
4532001,2,2,2,0,0,0,5594.0,75.0,5669.0,0.3528,0.3528
3281901,2,2,2,0,0,0,584.0,10.0,594.0,3.367,3.367
4259302,2,2,2,0,0,0,532.0,9.0,541.0,3.6969,3.6969
3466101,2,2,2,0,0,0,1420.0,15.0,1435.0,1.3937,1.3937
2952201,2,2,2,0,0,0,212.0,6.0,218.0,9.1743,9.1743
4282501,2,2,2,0,0,0,275.0,15.0,290.0,6.8966,6.8966
1649901,2,2,2,0,0,0,1576.0,98.0,1674.0,1.1947,1.1947
2951101,2,2,2,0,0,0,1543.0,27.0,1570.0,1.2739,1.2739
2932901,2,2,2,0,0,0,509.0,274.0,783.0,2.5543,2.5543
